"Reservoir","Site","DateTime","StartDepth_m","EndDepth_m","Rep","CollectionMethod","Taxon","Density_IndPerL","MeanLength_mm","MeanWeight_ug","Biomass_ugL","Flag_MeanLength_mm","Flag_MeanWeight_ug","Flag_Biomass_ugL"
"BVR",50,2014-04-30 12:00:00,8.5,0.1,1,"Tow","Total rotifers",7.07,NA,NA,NA,1,1,1
"BVR",50,2014-05-14 10:40:00,8.5,0.1,1,"Tow","Ascomorpha",0.55,NA,NA,NA,1,1,1
"BVR",50,2014-05-14 10:40:00,8.5,0.1,1,"Tow","Bosmina",0.39,0.29,0.67,0.26,0,0,0
"BVR",50,2014-05-14 10:40:00,8.5,0.1,1,"Tow","Chydorus",0.22,0.22,0.36,0.08,0,0,0
"BVR",50,2014-05-14 10:40:00,8.5,0.1,1,"Tow","Conochilus",64.08,NA,NA,NA,1,1,1
"BVR",50,2014-05-14 10:40:00,8.5,0.1,1,"Tow","Cyclopoids",2.22,0.62,2.79,6.19,0,0,0
"BVR",50,2014-05-14 10:40:00,8.5,0.1,1,"Tow","D. catawba",1.39,0.67,2.1,2.92,0,0,0
"BVR",50,2014-05-14 10:40:00,8.5,0.1,1,"Tow","Diaptomus",1.11,0.45,0.43,0.48,0,0,0
"BVR",50,2014-05-14 10:40:00,8.5,0.1,1,"Tow","Keratella",0.89,NA,NA,NA,1,1,1
"BVR",50,2014-05-14 10:40:00,8.5,0.1,1,"Tow","Nauplii",6.05,NA,NA,NA,1,1,1
"BVR",50,2014-05-14 10:40:00,8.5,0.1,1,"Tow","Polyarthra",0.61,NA,NA,NA,1,1,1
"BVR",50,2014-05-14 10:40:00,8.5,0.1,1,"Tow","Total rotifers",23.47,NA,NA,NA,1,1,1
"BVR",50,2014-05-14 10:40:00,8.5,0.1,1,"Tow","Trichocerca",0.06,NA,NA,NA,1,1,1
"BVR",50,2014-05-29 11:10:00,8.5,0.1,1,"Tow","Ascomorpha",13.91,NA,NA,NA,1,1,1
"BVR",50,2014-05-29 11:10:00,8.5,0.1,1,"Tow","Chydorus",1.25,0.29,0.85,1.06,0,0,0
"BVR",50,2014-05-29 11:10:00,8.5,0.1,1,"Tow","Conochilus",4.16,NA,NA,NA,1,1,1
"BVR",50,2014-05-29 11:10:00,8.5,0.1,1,"Tow","Cyclopoids",0.83,0.67,5.62,4.68,0,0,0
"BVR",50,2014-05-29 11:10:00,8.5,0.1,1,"Tow","D. catawba",0.21,0.43,0.66,0.14,0,0,0
"BVR",50,2014-05-29 11:10:00,8.5,0.1,1,"Tow","Kellicottia",0.14,NA,NA,NA,1,1,1
"BVR",50,2014-05-29 11:10:00,8.5,0.1,1,"Tow","Keratella",1.8,NA,NA,NA,1,1,1
"BVR",50,2014-05-29 11:10:00,8.5,0.1,1,"Tow","Nauplii",5.06,NA,NA,NA,1,1,1
"BVR",50,2014-05-29 11:10:00,8.5,0.1,1,"Tow","Polyarthra",0.62,NA,NA,NA,1,1,1
"BVR",50,2014-05-29 11:10:00,8.5,0.1,1,"Tow","Total rotifers",13.18,NA,NA,NA,1,1,1
"BVR",50,2014-05-29 11:10:00,8.5,0.1,1,"Tow","Trichocerca",0.07,NA,NA,NA,1,1,1
"BVR",50,2014-06-04 12:00:00,8.5,0.1,1,"Tow","Ascomorpha",24.97,NA,NA,NA,1,1,1
"BVR",50,2014-06-04 12:00:00,8.5,0.1,1,"Tow","Asplanchna",0.55,NA,NA,NA,1,1,1
"BVR",50,2014-06-04 12:00:00,8.5,0.1,1,"Tow","Chydorus",0.06,0.16,0.14,0.01,0,0,0
"BVR",50,2014-06-04 12:00:00,8.5,0.1,1,"Tow","Conochilus",2.94,NA,NA,NA,1,1,1
"BVR",50,2014-06-04 12:00:00,8.5,0.1,1,"Tow","Cyclopoids",3.27,0.56,3.36,11,0,0,0
"BVR",50,2014-06-04 12:00:00,8.5,0.1,1,"Tow","D. catawba",1.39,0.64,1.89,2.62,0,0,0
"BVR",50,2014-06-04 12:00:00,8.5,0.1,1,"Tow","Diaphanosoma",0.06,0.44,0.29,0.02,0,0,0
"BVR",50,2014-06-04 12:00:00,8.5,0.1,1,"Tow","Diaptomus",0.06,0.46,0.41,0.02,0,0,0
"BVR",50,2014-06-04 12:00:00,8.5,0.1,1,"Tow","Kellicottia",0.89,NA,NA,NA,1,1,1
"BVR",50,2014-06-04 12:00:00,8.5,0.1,1,"Tow","Keratella",18.72,NA,NA,NA,1,1,1
"BVR",50,2014-06-04 12:00:00,8.5,0.1,1,"Tow","Nauplii",16.56,NA,NA,NA,1,1,1
"BVR",50,2014-06-04 12:00:00,8.5,0.1,1,"Tow","Polyarthra",0.28,NA,NA,NA,1,1,1
"BVR",50,2014-06-04 12:00:00,8.5,0.1,1,"Tow","Total rotifers",25.46,NA,NA,NA,1,1,1
"BVR",50,2014-06-18 12:30:00,8.5,0.1,1,"Tow","Ascomorpha",2.44,NA,NA,NA,1,1,1
"BVR",50,2014-06-18 12:30:00,8.5,0.1,1,"Tow","Chydorus",0.06,0.16,0.14,0.01,0,0,0
"BVR",50,2014-06-18 12:30:00,8.5,0.1,1,"Tow","Conochilus",2.83,NA,NA,NA,1,1,1
"BVR",50,2014-06-18 12:30:00,8.5,0.1,1,"Tow","Cyclopoids",0.33,0.31,0.23,0.08,0,0,0
"BVR",50,2014-06-18 12:30:00,8.5,0.1,1,"Tow","D. catawba",0.78,0.82,3.17,2.46,0,0,0
"BVR",50,2014-06-18 12:30:00,8.5,0.1,1,"Tow","Diaphanosoma",0.06,1.03,3.97,0.22,0,0,0
"BVR",50,2014-06-18 12:30:00,8.5,0.1,1,"Tow","Kellicottia",0.06,NA,NA,NA,1,1,1
"BVR",50,2014-06-18 12:30:00,8.5,0.1,1,"Tow","Keratella",4.6,NA,NA,NA,1,1,1
"BVR",50,2014-06-18 12:30:00,8.5,0.1,1,"Tow","Lecane",0.06,NA,NA,NA,1,1,1
"BVR",50,2014-06-18 12:30:00,8.5,0.1,1,"Tow","Nauplii",1.78,NA,NA,NA,1,1,1
"BVR",50,2014-06-18 12:30:00,8.5,0.1,1,"Tow","Polyarthra",0.11,NA,NA,NA,1,1,1
"BVR",50,2014-06-18 12:30:00,8.5,0.1,1,"Tow","Total rotifers",10.1,NA,NA,NA,1,1,1
"BVR",50,2014-06-25 12:30:00,8.5,0.1,1,"Tow","Ascomorpha",2.88,NA,NA,NA,1,1,1
"BVR",50,2014-06-25 12:30:00,8.5,0.1,1,"Tow","Asplanchna",0.61,NA,NA,NA,1,1,1
"BVR",50,2014-06-25 12:30:00,8.5,0.1,1,"Tow","Bosmina",0.06,0.2,0.25,0.01,0,0,0
"BVR",50,2014-06-25 12:30:00,8.5,0.1,1,"Tow","Chaoborus",0.01,NA,NA,NA,1,1,1
"BVR",50,2014-06-25 12:30:00,8.5,0.1,1,"Tow","Conochilus",4.6,NA,NA,NA,1,1,1
"BVR",50,2014-06-25 12:30:00,8.5,0.1,1,"Tow","Cyclopoids",2.55,0.54,3.19,8.13,0,0,0
"BVR",50,2014-06-25 12:30:00,8.5,0.1,1,"Tow","D. catawba",2.72,0.54,1.19,3.24,0,0,0
"BVR",50,2014-06-25 12:30:00,8.5,0.1,1,"Tow","Kellicottia",3.05,NA,NA,NA,1,1,1
"BVR",50,2014-06-25 12:30:00,8.5,0.1,1,"Tow","Keratella",5.6,NA,NA,NA,1,1,1
"BVR",50,2014-06-25 12:30:00,8.5,0.1,1,"Tow","Nauplii",7.27,NA,NA,NA,1,1,1
"BVR",50,2014-06-25 12:30:00,8.5,0.1,1,"Tow","Polyarthra",0.44,NA,NA,NA,1,1,1
"BVR",50,2014-06-25 12:30:00,8.5,0.1,1,"Tow","Total rotifers",17.25,NA,NA,NA,1,1,1
"BVR",50,2014-06-25 12:30:00,8.5,0.1,1,"Tow","Trichocerca",0.06,NA,NA,NA,1,1,1
"BVR",50,2014-07-02 10:50:00,10.5,0.1,1,"Tow","Ascomorpha",0.94,NA,NA,NA,1,1,1
"BVR",50,2014-07-02 10:50:00,10.5,0.1,1,"Tow","Asplanchna",0.03,NA,NA,NA,1,1,1
"BVR",50,2014-07-02 10:50:00,10.5,0.1,1,"Tow","Bosmina",0.34,0.25,0.49,0.17,0,0,0
"BVR",50,2014-07-02 10:50:00,10.5,0.1,1,"Tow","Ceriodaphnia",0.03,0.26,0.14,0,0,0,0
"BVR",50,2014-07-02 10:50:00,10.5,0.1,1,"Tow","Chaoborus",0.03,NA,NA,NA,1,1,1
"BVR",50,2014-07-02 10:50:00,10.5,0.1,1,"Tow","Conochilus",0.24,NA,NA,NA,1,1,1
"BVR",50,2014-07-02 10:50:00,10.5,0.1,1,"Tow","Cyclopoids",0.77,0.72,4.93,3.82,0,0,0
"BVR",50,2014-07-02 10:50:00,10.5,0.1,1,"Tow","D. ambigua",0.37,0.81,2.98,1.1,0,0,0
"BVR",50,2014-07-02 10:50:00,10.5,0.1,1,"Tow","D. catawba",0.88,0.9,4.18,3.66,0,0,0
"BVR",50,2014-07-02 10:50:00,10.5,0.1,1,"Tow","Kellicottia",1.92,NA,NA,NA,1,1,1
"BVR",50,2014-07-02 10:50:00,10.5,0.1,1,"Tow","Keratella",7.86,NA,NA,NA,1,1,1
"BVR",50,2014-07-02 10:50:00,10.5,0.1,1,"Tow","Nauplii",3.44,NA,NA,NA,1,1,1
"BVR",50,2014-07-02 10:50:00,10.5,0.1,1,"Tow","Polyarthra",0.34,NA,NA,NA,1,1,1
"BVR",50,2014-07-02 10:50:00,10.5,0.1,1,"Tow","Total rotifers",9.36,NA,NA,NA,1,1,1
"BVR",50,2014-07-09 11:55:00,10.5,0.1,1,"Tow","Ascomorpha",0.54,NA,NA,NA,1,1,1
"BVR",50,2014-07-09 11:55:00,10.5,0.1,1,"Tow","Asplanchna",0.02,NA,NA,NA,1,1,1
"BVR",50,2014-07-09 11:55:00,10.5,0.1,1,"Tow","Ceriodaphnia",0.11,0.38,0.63,0.07,0,0,0
"BVR",50,2014-07-09 11:55:00,10.5,0.1,1,"Tow","Chaoborus",0.03,NA,NA,NA,1,1,1
"BVR",50,2014-07-09 11:55:00,10.5,0.1,1,"Tow","Conochilus",0.29,NA,NA,NA,1,1,1
"BVR",50,2014-07-09 11:55:00,10.5,0.1,1,"Tow","Cyclopoids",0.67,0.79,7.2,4.85,0,0,0
"BVR",50,2014-07-09 11:55:00,10.5,0.1,1,"Tow","D. ambigua",0.16,0.78,2.79,0.44,0,0,0
"BVR",50,2014-07-09 11:55:00,10.5,0.1,1,"Tow","D. catawba",0.04,0.44,0.7,0.03,0,0,0
"BVR",50,2014-07-09 11:55:00,10.5,0.1,1,"Tow","Diaphanosoma",0.02,0.3,0.09,0,0,0,0
"BVR",50,2014-07-09 11:55:00,10.5,0.1,1,"Tow","Kellicottia",4.54,NA,NA,NA,1,1,1
"BVR",50,2014-07-09 11:55:00,10.5,0.1,1,"Tow","Keratella",2.83,NA,NA,NA,1,1,1
"BVR",50,2014-07-09 11:55:00,10.5,0.1,1,"Tow","Lecane",0.02,NA,NA,NA,1,1,1
"BVR",50,2014-07-09 11:55:00,10.5,0.1,1,"Tow","Nauplii",2.81,NA,NA,NA,1,1,1
"BVR",50,2014-07-09 11:55:00,10.5,0.1,1,"Tow","Polyarthra",0.07,NA,NA,NA,1,1,1
"BVR",50,2014-07-09 11:55:00,10.5,0.1,1,"Tow","Total rotifers",8.31,NA,NA,NA,1,1,1
"BVR",50,2014-07-23 11:45:00,8.5,0.1,1,"Tow","Ascomorpha",0.39,NA,NA,NA,1,1,1
"BVR",50,2014-07-23 11:45:00,8.5,0.1,1,"Tow","Asplanchna",0.06,NA,NA,NA,1,1,1
"BVR",50,2014-07-23 11:45:00,8.5,0.1,1,"Tow","Bosmina",0.11,0.23,0.42,0.05,0,0,0
"BVR",50,2014-07-23 11:45:00,8.5,0.1,1,"Tow","Chaoborus",0.04,NA,NA,NA,1,1,1
"BVR",50,2014-07-23 11:45:00,8.5,0.1,1,"Tow","Conochilus",0.22,NA,NA,NA,1,1,1
"BVR",50,2014-07-23 11:45:00,8.5,0.1,1,"Tow","Cyclopoids",4.38,0.48,1.01,4.41,0,0,0
"BVR",50,2014-07-23 11:45:00,8.5,0.1,1,"Tow","D. ambigua",0.28,0.7,2.07,0.57,0,0,0
"BVR",50,2014-07-23 11:45:00,8.5,0.1,1,"Tow","D. catawba",1.05,0.94,4.78,5.03,0,0,0
"BVR",50,2014-07-23 11:45:00,8.5,0.1,1,"Tow","Kellicottia",46.94,NA,NA,NA,1,1,1
"BVR",50,2014-07-23 11:45:00,8.5,0.1,1,"Tow","Keratella",15.31,NA,NA,NA,1,1,1
"BVR",50,2014-07-23 11:45:00,8.5,0.1,1,"Tow","Nauplii",14.65,NA,NA,NA,1,1,1
"BVR",50,2014-07-23 11:45:00,8.5,0.1,1,"Tow","Polyarthra",0.17,NA,NA,NA,1,1,1
"BVR",50,2014-07-23 11:45:00,8.5,0.1,1,"Tow","Total rotifers",21.64,NA,NA,NA,1,1,1
"BVR",50,2014-07-23 11:45:00,8.5,0.1,1,"Tow","Trichocerca",0.06,NA,NA,NA,1,1,1
"BVR",50,2014-08-13 10:05:00,8.5,0.1,1,"Tow","Ascomorpha",0.33,NA,NA,NA,1,1,1
"BVR",50,2014-08-13 10:05:00,8.5,0.1,1,"Tow","Asplanchna",0.06,NA,NA,NA,1,1,1
"BVR",50,2014-08-13 10:05:00,8.5,0.1,1,"Tow","Bosmina",0.17,0.24,0.45,0.07,0,0,0
"BVR",50,2014-08-13 10:05:00,8.5,0.1,1,"Tow","Chaoborus",0.02,NA,NA,NA,1,1,1
"BVR",50,2014-08-13 10:05:00,8.5,0.1,1,"Tow","Cyclopoids",2.05,0.5,1.79,3.68,0,0,0
"BVR",50,2014-08-13 10:05:00,8.5,0.1,1,"Tow","D. ambigua",0.11,0.72,2.29,0.25,0,0,0
"BVR",50,2014-08-13 10:05:00,8.5,0.1,1,"Tow","D. catawba",1.94,0.65,1.86,3.61,0,0,0
"BVR",50,2014-08-13 10:05:00,8.5,0.1,1,"Tow","Kellicottia",17.31,NA,NA,NA,1,1,1
"BVR",50,2014-08-13 10:05:00,8.5,0.1,1,"Tow","Keratella",5.99,NA,NA,NA,1,1,1
"BVR",50,2014-08-13 10:05:00,8.5,0.1,1,"Tow","Nauplii",3.55,NA,NA,NA,1,1,1
"BVR",50,2014-08-13 10:05:00,8.5,0.1,1,"Tow","Polyarthra",0.06,NA,NA,NA,1,1,1
"BVR",50,2014-08-13 10:05:00,8.5,0.1,1,"Tow","Total rotifers",18.14,NA,NA,NA,1,1,1
"BVR",50,2014-08-13 10:05:00,8.5,0.1,1,"Tow","Trichocerca",0.17,NA,NA,NA,1,1,1
"BVR",50,2014-09-04 09:45:00,8.5,0.1,1,"Tow","Ascomorpha",2.08,NA,NA,NA,1,1,1
"BVR",50,2014-09-04 09:45:00,8.5,0.1,1,"Tow","Chaoborus",0.16,NA,NA,NA,1,1,1
"BVR",50,2014-09-04 09:45:00,8.5,0.1,1,"Tow","Cyclopoids",9.15,0.46,1.03,9.44,0,0,0
"BVR",50,2014-09-04 09:45:00,8.5,0.1,1,"Tow","D. ambigua",1.66,0.53,1.22,2.04,0,0,0
"BVR",50,2014-09-04 09:45:00,8.5,0.1,1,"Tow","D. catawba",1.39,0.65,1.93,2.68,0,0,0
"BVR",50,2014-09-04 09:45:00,8.5,0.1,1,"Tow","Diaptomus",0.14,0.73,1.33,0.18,0,0,0
"BVR",50,2014-09-04 09:45:00,8.5,0.1,1,"Tow","Kellicottia",34.54,NA,NA,NA,1,1,1
"BVR",50,2014-09-04 09:45:00,8.5,0.1,1,"Tow","Keratella",5.96,NA,NA,NA,1,1,1
"BVR",50,2014-09-04 09:45:00,8.5,0.1,1,"Tow","Nauplii",36.62,NA,NA,NA,1,1,1
"BVR",50,2014-09-04 09:45:00,8.5,0.1,1,"Tow","Polyarthra",0.83,NA,NA,NA,1,1,1
"BVR",50,2014-09-04 09:45:00,8.5,0.1,1,"Tow","Total rotifers",20.53,NA,NA,NA,1,1,1
"BVR",50,2014-09-04 09:45:00,8.5,0.1,1,"Tow","Trichocerca",0.14,NA,NA,NA,1,1,1
"BVR",50,2014-09-25 09:50:00,8.5,0.1,1,"Tow","Ascomorpha",12.27,NA,NA,NA,1,1,1
"BVR",50,2014-09-25 09:50:00,8.5,0.1,1,"Tow","Bosmina",1.25,0.23,0.42,0.53,0,0,0
"BVR",50,2014-09-25 09:50:00,8.5,0.1,1,"Tow","Chaoborus",0.05,NA,NA,NA,1,1,1
"BVR",50,2014-09-25 09:50:00,8.5,0.1,1,"Tow","Conochilus",3.54,NA,NA,NA,1,1,1
"BVR",50,2014-09-25 09:50:00,8.5,0.1,1,"Tow","Cyclopoids",11.86,0.48,1.22,14.42,0,0,0
"BVR",50,2014-09-25 09:50:00,8.5,0.1,1,"Tow","D. catawba",1.66,0.51,1.04,1.73,0,0,0
"BVR",50,2014-09-25 09:50:00,8.5,0.1,1,"Tow","Diaphanosoma",0.21,0.5,0.43,0.09,0,0,0
"BVR",50,2014-09-25 09:50:00,8.5,0.1,1,"Tow","Diaptomus",1.04,0.59,1.13,1.18,0,0,0
"BVR",50,2014-09-25 09:50:00,8.5,0.1,1,"Tow","Kellicottia",2.7,NA,NA,NA,1,1,1
"BVR",50,2014-09-25 09:50:00,8.5,0.1,1,"Tow","Keratella",18.1,NA,NA,NA,1,1,1
"BVR",50,2014-09-25 09:50:00,8.5,0.1,1,"Tow","Lecane",0.21,NA,NA,NA,1,1,1
"BVR",50,2014-09-25 09:50:00,8.5,0.1,1,"Tow","Nauplii",22.89,NA,NA,NA,1,1,1
"BVR",50,2014-09-25 09:50:00,8.5,0.1,1,"Tow","Polyarthra",12.9,NA,NA,NA,1,1,1
"BVR",50,2014-09-25 09:50:00,8.5,0.1,1,"Tow","Total rotifers",58.25,NA,NA,NA,1,1,1
"BVR",50,2014-09-25 09:50:00,8.5,0.1,1,"Tow","Trichocerca",8.53,NA,NA,NA,1,1,1
"BVR",50,2015-05-14 12:20:00,8,0.1,1,"Tow","Bosmina",0.08,0.26,0.49,0.04,0,0,0
"BVR",50,2015-05-14 12:20:00,8,0.1,1,"Tow","Conochilus",0.88,NA,NA,NA,1,1,1
"BVR",50,2015-05-14 12:20:00,8,0.1,1,"Tow","Cyclopoids",1.04,0.55,1.82,1.9,0,0,0
"BVR",50,2015-05-14 12:20:00,8,0.1,1,"Tow","Kellicottia",36.25,NA,NA,NA,1,1,1
"BVR",50,2015-05-14 12:20:00,8,0.1,1,"Tow","Keratella",3.54,NA,NA,NA,1,1,1
"BVR",50,2015-05-14 12:20:00,8,0.1,1,"Tow","Total rotifers",40.67,NA,NA,NA,1,1,1
"BVR",50,2015-05-28 11:00:00,9,0.1,1,"Tow","Ascomorpha",0.79,NA,NA,NA,1,1,1
"BVR",50,2015-05-28 11:00:00,9,0.1,1,"Tow","Ceriodaphnia",0.07,0.26,0.14,0.01,0,0,0
"BVR",50,2015-05-28 11:00:00,9,0.1,1,"Tow","Chydorus",0.07,0.16,0.14,0.01,0,0,0
"BVR",50,2015-05-28 11:00:00,9,0.1,1,"Tow","Conochilus",1.57,NA,NA,NA,1,1,1
"BVR",50,2015-05-28 11:00:00,9,0.1,1,"Tow","Cyclopoids",1.86,0.48,3.13,5.82,0,0,0
"BVR",50,2015-05-28 11:00:00,9,0.1,1,"Tow","D. catawba",0.07,0.48,0.85,0.06,0,0,0
"BVR",50,2015-05-28 11:00:00,9,0.1,1,"Tow","Kellicottia",8.65,NA,NA,NA,1,1,1
"BVR",50,2015-05-28 11:00:00,9,0.1,1,"Tow","Keratella",3.14,NA,NA,NA,1,1,1
"BVR",50,2015-05-28 11:00:00,9,0.1,1,"Tow","Nauplii",2.36,NA,NA,NA,1,1,1
"BVR",50,2015-05-28 11:00:00,9,0.1,1,"Tow","Polyarthra",3.93,NA,NA,NA,1,1,1
"BVR",50,2015-05-28 11:00:00,9,0.1,1,"Tow","Total rotifers",18.08,NA,NA,NA,1,1,1
"BVR",50,2015-06-11 10:40:00,9,0.1,1,"Tow","Ascomorpha",0.79,NA,NA,NA,1,1,1
"BVR",50,2015-06-11 10:40:00,9,0.1,1,"Tow","Ceriodaphnia",0.07,0.4,0.59,0.04,0,0,0
"BVR",50,2015-06-11 10:40:00,9,0.1,1,"Tow","Conochilus",0.79,NA,NA,NA,1,1,1
"BVR",50,2015-06-11 10:40:00,9,0.1,1,"Tow","Cyclopoids",1.36,0.36,0.41,0.56,0,0,0
"BVR",50,2015-06-11 10:40:00,9,0.1,1,"Tow","D. catawba",1.29,0.53,1.16,1.49,0,0,0
"BVR",50,2015-06-11 10:40:00,9,0.1,1,"Tow","Diaptomus",0.07,0.34,0.2,0.01,0,0,0
"BVR",50,2015-06-11 10:40:00,9,0.1,1,"Tow","Kellicottia",3.93,NA,NA,NA,1,1,1
"BVR",50,2015-06-11 10:40:00,9,0.1,1,"Tow","Keratella",29.87,NA,NA,NA,1,1,1
"BVR",50,2015-06-11 10:40:00,9,0.1,1,"Tow","Nauplii",8.65,NA,NA,NA,1,1,1
"BVR",50,2015-06-11 10:40:00,9,0.1,1,"Tow","Polyarthra",0.79,NA,NA,NA,1,1,1
"BVR",50,2015-06-11 10:40:00,9,0.1,1,"Tow","Total rotifers",36.15,NA,NA,NA,1,1,1
"BVR",50,2015-06-25 11:20:00,9,0.1,1,"Tow","Ascomorpha",0.79,NA,NA,NA,1,1,1
"BVR",50,2015-06-25 11:20:00,9,0.1,1,"Tow","Ceriodaphnia",0.07,0.26,0.14,0.01,0,0,0
"BVR",50,2015-06-25 11:20:00,9,0.1,1,"Tow","Chaoborus",0.01,6.21,44.95,0.28,0,0,0
"BVR",50,2015-06-25 11:20:00,9,0.1,1,"Tow","Conochilus",0.79,NA,NA,NA,1,1,1
"BVR",50,2015-06-25 11:20:00,9,0.1,1,"Tow","Cyclopoids",1,0.49,1.31,1.31,0,0,0
"BVR",50,2015-06-25 11:20:00,9,0.1,1,"Tow","D. catawba",0.21,0.67,2.01,0.43,0,0,0
"BVR",50,2015-06-25 11:20:00,9,0.1,1,"Tow","Kellicottia",1.57,NA,NA,NA,1,1,1
"BVR",50,2015-06-25 11:20:00,9,0.1,1,"Tow","Keratella",4.72,NA,NA,NA,1,1,1
"BVR",50,2015-06-25 11:20:00,9,0.1,1,"Tow","Nauplii",1.57,NA,NA,NA,1,1,1
"BVR",50,2015-06-25 11:20:00,9,0.1,1,"Tow","Total rotifers",7.86,NA,NA,NA,1,1,1
"BVR",50,2015-07-09 09:30:00,9,0.1,1,"Tow","Ceriodaphnia",0.07,0.36,0.41,0.03,0,0,0
"BVR",50,2015-07-09 09:30:00,9,0.1,1,"Tow","Chaoborus",0.05,5.39,39.74,1.81,0,0,0
"BVR",50,2015-07-09 09:30:00,9,0.1,1,"Tow","Cyclopoids",4.64,0.5,1.35,6.29,0,0,0
"BVR",50,2015-07-09 09:30:00,9,0.1,1,"Tow","D. ambigua",0.57,0.54,1.23,0.7,0,0,0
"BVR",50,2015-07-09 09:30:00,9,0.1,1,"Tow","D. catawba",1.36,0.69,2.03,2.76,0,0,0
"BVR",50,2015-07-09 09:30:00,9,0.1,1,"Tow","Diaptomus",0.5,0.64,1.06,0.53,0,0,0
"BVR",50,2015-07-09 09:30:00,9,0.1,1,"Tow","Kellicottia",2.36,NA,NA,NA,1,1,1
"BVR",50,2015-07-09 09:30:00,9,0.1,1,"Tow","Keratella",3.14,NA,NA,NA,1,1,1
"BVR",50,2015-07-09 09:30:00,9,0.1,1,"Tow","Lecane",1.57,NA,NA,NA,1,1,1
"BVR",50,2015-07-09 09:30:00,9,0.1,1,"Tow","Nauplii",12.58,NA,NA,NA,1,1,1
"BVR",50,2015-07-09 09:30:00,9,0.1,1,"Tow","Total rotifers",7.07,NA,NA,NA,1,1,1
